id,Stars_name,Distance,Mass,Radius,luminosity
343,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
344,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
345,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
346,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
347,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
348,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
349,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
350,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
351,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
352,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
353,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
354,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
355,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
356,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
357,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
358,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
359,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
360,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
361,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
362,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
363,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
364,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
365,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
366,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
367,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
368,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
369,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
370,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
371,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
372,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
373,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
374,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
375,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
376,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
377,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
378,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
379,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
380,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
381,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
382,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
383,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
384,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
385,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
386,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
387,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
388,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
389,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
390,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
391,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
392,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
393,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
394,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
395,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
396,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
397,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
398,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
399,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
400,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
401,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
402,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
403,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
404,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
405,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
406,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
407,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
408,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
409,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
410,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
411,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
412,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
413,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
414,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
415,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
416,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
417,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
418,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
